id,name,description,rarity,power,image_file_id,created_by,created_at,mana_cost,base_attack,base_hp,mechanics,card_type,mechanics_desc,simplified_levelup
1,Искатель,"Начинающий герой, готовый к приключениям.",start,30,,,,0,0,35,[],hero,,false
3,Жанна д'Арк,Святая дева. Усиливает атаку всех союзников на поле.,epic,50,,,,0,0,35,"[""aura_atk_1_3""]",hero,Аура: усиливает атаку всех союзных существ на доске,false
4,Аскеладд,Лидер наемников. Отражает часть полученного урона обратно.,legendary,60,,,,0,0,40,"[""reflect_1""]",hero,Отражает 1 урон обратно атакующему при каждом получении урона,false
5,Даркнесс,"Крестоносец-мазохист. Обладает броней, снижающей любой урон.",superrare,45,,,,0,0,45,"[""armor_1_3""]",hero,Броня: уменьшает входящий урон на случайное значение от 1 до 3,false
6,Росомаха,Мутант с регенерацией. Восстанавливает здоровье каждый ход.,rare,40,,,,0,0,37,"[""regen_1""]",hero,Восстанавливает 1 HP в конце каждого своего хода,false
7,Олег Тиньков,Капитализм работает. Вы начинаете бой с дополнительным запасом маны.,mythic,70,,,,0,0,23,"[""start_mana_1_5""]",hero,Даёт дополнительную ману и увеличивает максимум маны в начале боя,false
8,Глитч-Удар,Наносит прямой урон выбранному существу или герою.,common,10,,,,1,0,0,"[""damage_1_5""]",potion,Наносит прямой урон выбранной вражеской цели (юниту или герою),false
10,Импульс Бездны,Тьма поглощает всё. Наносит урон всем врагам сразу.,epic,40,,,,4,0,0,"[""aoe_damage_2""]",potion,Наносит урон всем вражеским существам на доске,false
11,Заморозка,"Остановись, мгновенье! Цель пропускает свой следующий ход.",rare,25,,,,2,0,0,"[""freeze""]",potion,Замораживает выбранного врага: цель пропускает следующую атаку,true
12,Кража Маны,Ваша сила — моя. Отнимает ману у врага и отдает вам.,epic,35,,,,3,0,0,"[""mana_drain_2""]",potion,Крадёт до 2 маны у противника и отдаёт её владельцу карты,true
13,Черная Дыра,Событие горизонта. Мгновенно уничтожает любое существо.,legendary,60,,,,5,0,0,"[""delete_target""]",potion,Мгновенно уничтожает выбранное вражеское существо если цель не защищена щитом,true
14,Сакура,Медик команды. При выходе на поле лечит вашего героя.,common,15,,,,2,2,2,"[""battlecry_heal_hero_2""]",warrior,При выходе на поле лечит своего героя на 2 HP,false
15,Тока Киришима,Быстрая атака. Наносит урон случайному врагу при появлении.,common,15,,,,2,2,1,"[""battlecry_damage_1_random""]",warrior,При выходе на поле наносит 1 урон случайному врагу,false
16,Хог Райдер,HOG RIDEEEER! Перепрыгивает стены (Игнорирует Провокацию).,rare,30,,,,4,4,3,"[""bypass_taunt""]",warrior,Игнорирует Провокацию: может атаковать любую цель даже при наличии вражеских юнитов с taunt,false
17,Танджиро,"Дыхание воды. Имеет одноразовый щит, блокирующий первый удар.",rare,25,,,,3,3,2,"[""shield""]",warrior,"Одноразовый щит: полностью блокирует первый входящий урон, вредную механику или заклинание и исчезает",false
18,П.Е.К.К.А.,Тяжелая броня. Получает сниженный урон от всех атак.,epic,50,,,,5,5,5,"[""armor_1""]",warrior,Броня: уменьшает каждый входящий урон ровно на 1,false
19,Саб-Зиро,Ледяной ниндзя. Замораживает выбранного врага при выходе.,epic,45,,,,4,3,4,"[""battlecry_freeze""]",warrior,При выходе на поле замораживает выбранного врага (пропускает следующую атаку),false
20,Канеки Кен,"Поглощение. Съедает союзника, чтобы забрать его характеристики.",legendary,55,,,,3,2,2,"[""consume_ally""]",warrior,Уничтожает выбранного союзника и прибавляет его атаку и здоровье к своим характеристикам,false
21,Геральт,Ведьмак. При выходе выберите Знак: получить Щит или нанести Урон.,legendary,60,,,,5,4,5,"[""choose_shield_damage""]",warrior,При выходе выбор: нанести 3 урона вражеской цели ИЛИ получить одноразовый щит,false
22,Дио Брандо,ZA WARUDO! Останавливает время (замораживает) для врагов.,mythic,80,,,,8,6,6,"[""aoe_freeze""]",warrior,При выходе замораживает до 3 вражеских существ на доске,false
23,Сукуна,Рассечение. Атаки наносят урон цели и соседним юнитам.,mythic,75,,,,7,7,5,"[""cleave_1_2""]",warrior,При атаке наносит дополнительный урон до 2 соседним существам противника,false
24,Годжо Сатору,Бесконечность. Восстанавливает одноразовый щит каждый ход.,divine,95,,,,9,5,6,"[""shield""]",warrior,В начале каждого своего хода получает одноразовый щит если щита ещё нет,false
25,Сайтама,Один удар. На первом своем ходу уничтожает выбранного противника один раз.,divine,100,,,,10,10,10,"[""instant_kill""]",warrior,При первом ходе Сайтамы уничтожает выбранного противника. Срабатывает один раз; щит блокирует удар,false
26,Мидория,Главная в ExtraArena. При выходе применяет случайную Суперспособность,limited,50,,,,5,5,5,"[""cast_random_spell""]",warrior,При выходе разыгрывает случайное заклинание (урон/лечение/заморозка/бафф) с масштабированием,false
27,Скелет,"Просто кости. Слабый, но дешевый юнит.",common,5,,,,1,2,1,[],warrior,,false
28,Торфинн,"Ярость берсерка. Высокая атака, но слабая защита.",rare,20,,,,2,4,1,[],warrior,,false
29,Штурмовик,Пехотинец Империи. Стандартный боец поддержки.,common,10,,,,3,3,4,[],warrior,,false
30,Наофуми,"Герой Щита. Обладает Провокацией, защищая остальных собой.",epic,40,,,,3,1,5,"[""taunt""]",warrior,Провокация: противник обязан атаковать это существо в первую очередь,false
31,Наемник,Опытный боец. Сбалансированные характеристики.,rare,25,,,,4,4,5,[],warrior,,false
43,Лара Крофт,Расхитительница гробниц. Игнорирует Провокацию и выбирает цель сама.,epic,30,,,,2,3,1,"[""bypass_taunt""]",warrior,Игнорирует Провокацию: может атаковать любую цель даже при наличии вражеских юнитов с taunt,false
44,Леви Аккерман,Капитан разведкорпуса. Может атаковать сразу после выхода на поле.,epic,35,,,,2,3,1,"[""charge""]",warrior,Рывок: может атаковать в тот же ход когда был выставлен на доску,false
45,Солид Снейк,Легендарный оперативник. Принимает удар на себя благодаря Провокации.,epic,45,,,,5,5,4,"[""taunt""]",warrior,Провокация: противник обязан атаковать это существо в первую очередь,false
46,Уссоп,Снайпер команды. Простая и надежная карта для ранней игры.,common,10,,,,2,3,1,[],warrior,,false
47,Солдатик,"Как ни парадоксально, с каждым выкуренным косяком боеспособность растёт!",legendary,75,,,,7,4,5,"[""aoe_silence""]",warrior,При выходе лишает механик до 3 вражеских существ на доске (карты становятся обычными),false
48,Соул Гудман,"Адвокат дьявола. Дьявола, Будды, Иисуса, Гитлера и Трампа.",legendary,70,,,,7,2,4,"[""team_wide_shield""]",warrior,При выходе даёт одноразовый щит до 3 союзным существам на доске,false
49,Достоевский,"Не сказать, что такой лидер полон энтузиазма. Родился 11 ноября 1821 года и умер 9 февраля 1881 года по новому стилю.",mythic,90,,,,0,0,32,"[""crime_and_punishment_2""]",hero,"Преступление и наказание: каждый раз, когда противник убивает вашу карту, его герой получает 2 урона (игнорирует броню)",false
50,Бан,"Наглый бессмертный мудак, который не умирает и постепенно высасывает противника.",mythic,85,,,,8,3,7,"[""rebirth_1""]",warrior,Возрождение: при первом смертельном ударе выживает с 1 HP. Способность одноразовая,false
51,Кинг,"Самый сильный человек на Земле. По крайней мере, все так думают.",common,10,,,,0,0,4,"[""taunt""]",warrior,Провокация: противник обязан атаковать это существо в первую очередь,false
52,Криста Ленц,Доброе сердце способно изменить ход сражения.,common,10,,,,2,1,2,"[""target_ally_max_hp_plus_universal_1""]",warrior,При выходе увеличивает максимальное здоровье выбранного союзника (или героя) на 1,false
